ideology,religion,risk_seeking,expend_total,seems_fun,enjoy_thinking,self_control,risk_aversion,gender,age,marital,employment,urban,education,income,white,black,hispanic,income_delta,expend_delta,overconfidence,lottery_payout,happiness,financial_literacy,financial_numeracy,gamblers_fallacy,non_belief_lln,ev_miscalculation,income_effects_delta_pct,state,expenditures_share_income,education_5,education_10,education_15,education_20
Slightly Conservative,1.0,-4,20.0,1,3 - Strongly Agree,-3 - Far too little,No financial risks.,Female,57.0,0.0,0.0,Metro Area,14.0,7.5,1.0,0.0,0.0,-17.5,2.5,-0.1,0.45,,0.6,0.0,0.0,0.47703335,1.0,0.0,AL,2.6666666666666665,1,1,0,0
Moderate,1.0,-4,25.0,1,1,1,No financial risks.,Female,52.0,0.0,1.0,Metro Area,16.0,80.0,1.0,0.0,0.0,2.5,2.5,0.1,0.35,0.0,0.6,0.6666667,0.6666667,0.39703333,1.0,0.0,AL,0.3125,1,1,1,0
Slightly Liberal,1.0,-5,10.0,-1,0 - Neutral,0 - The right amount,No financial risks.,Female,54.0,Married,1.0,Metro Area,13.0,55.0,0.0,1.0,0.0,37.5,0.0,0.1,,-5.0,0.6,0.0,1.0,0.5270333,1.0,0.0,AL,0.18181818181818182,1,1,0,0
Liberal,0.0,-3,7.0,0 - Neutral,3 - Strongly Agree,-1,Average financial risks expecting to earn average returns.,Female,38.0,Married,0.0,Metro Area,14.0,67.5,1.0,0.0,0.0,2.5,-37.5,0.0,0.05,1.0,1.0,1.0,0.0,0.42703333,0.5,-50.0,AL,0.1037037037037037,1,1,0,0
Conservative,1.0,-2,0.0,-3 - Strongly Disagree,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,50.0,Married,1.0,Metro Area,18.0,187.5,1.0,0.0,0.0,2.5,0.0,-0.3,0.15,-6.0,1.0,0.33333334,1.0,0.42703333,1.0,0.0,AL,0.0,1,1,1,0
Liberal,1.0,-4,25.0,2,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,71.0,Married,0.0,Metro Area,13.0,67.5,1.0,0.0,0.0,0.0,-50.0,-0.2,0.15,8.0,0.8,0.0,0.0,0.42703333,1.0,0.0,AL,0.37037037037037035,1,1,0,0
Moderate,1.0,-4,10.0,3 - Strongly Agree,0 - Neutral,0 - The right amount,No financial risks.,Male,25.0,0.0,0.0,Metro Area,12.0,80.0,1.0,0.0,0.0,-50.0,-50.0,0.0,0.45,0.0,0.0,0.33333334,0.0,0.42703333,0.75,-50.0,AL,0.125,1,1,0,0
Moderate,1.0,-7 - Very willing,55.0,0 - Neutral,3 - Strongly Agree,3 - Far too much,No financial risks.,Male,60.0,Married,0.0,Metro Area,11.0,22.5,0.0,1.0,0.0,-2.5,0.0,0.0,0.55,10.0,0.4,0.33333334,1.0,0.78549606,0.75,0.0,AL,2.4444444444444446,1,1,0,0
Slightly Conservative,1.0,-3,0.0,0 - Neutral,2,0 - The right amount,No financial risks.,Male,28.0,Married,1.0,Metro Area,13.0,55.0,1.0,0.0,0.0,0.0,0.0,-0.1,0.35,2.0,0.8,1.0,0.0,0.0563,0.0,0.0,AL,0.0,1,1,0,0
Conservative,1.0,-5,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,62.0,0.0,1.0,Metro Area,16.0,67.5,1.0,0.0,0.0,17.5,0.0,0.0,0.25,-5.0,1.0,1.0,0.0,0.072966665,0.5,0.0,AL,0.0,1,1,1,0
Moderate,0.0,-3,30.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,25.0,0.0,1.0,Non-Metro Area,12.0,7.5,0.0,1.0,0.0,-17.5,50.0,0.0,0.35,5.0,0.6,0.6666667,0.33333334,0.42703333,0.25,0.0,AL,4.0,1,1,0,0
Moderate,0.0,-4,0.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,63.0,Married,0.0,Metro Area,12.0,45.0,0.0,1.0,0.0,2.5,0.0,-0.1,0.25,,0.6,0.33333334,0.0,0.42703333,1.0,0.0,AL,0.0,1,1,0,0
Moderate,0.0,-5,20.0,1,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,35.0,Married,1.0,Metro Area,16.0,27.5,1.0,0.0,0.0,-37.5,-50.0,0.0,0.25,8.0,1.0,1.0,0.0,0.7003667,1.0,7.5,AL,0.7272727272727273,1,1,1,0
Slightly Conservative,0.0,-5,0.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,52.0,Married,1.0,Metro Area,16.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,1.0,0.0,0.07196666,0.0,0.0,AL,0.0,1,1,1,0
Moderate,1.0,-5,40.0,2,3 - Strongly Agree,2,No financial risks.,Male,73.0,Married,0.0,Metro Area,12.0,45.0,0.0,0.0,1.0,7.5,17.5,0.0,0.75,0.0,0.6,0.6666667,0.0,0.42703333,0.75,0.0,AL,0.8888888888888888,1,1,0,0
Conservative,1.0,-3,20.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,60.0,Married,1.0,Metro Area,12.0,55.0,1.0,0.0,0.0,7.5,0.0,0.0,0.15,-4.0,0.4,0.33333334,0.0,0.42703333,1.0,7.5,AL,0.36363636363636365,1,1,0,0
Moderate,0.0,-7 - Very willing,0.0,2,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,29.0,Married,1.0,Metro Area,12.0,27.5,1.0,0.0,0.0,37.5,0.0,-0.9,0.75,0.0,0.6,0.6666667,0.0,0.5270333,0.5,2.5,AL,0.0,1,1,0,0
Moderate,0.0,-4,0.0,3 - Strongly Agree,3 - Strongly Agree,2,Average financial risks expecting to earn average returns.,Male,23.0,0.0,0.0,Metro Area,12.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.2,0.33333334,1.0,0.6203667,1.0,0.0,AL,0.0,1,1,0,0
Moderate,1.0,-3,0.0,0 - Neutral,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,29.0,0.0,1.0,Non-Metro Area,14.0,12.5,0.0,1.0,0.0,2.5,0.0,-0.2,0.35,0.0,0.6,0.33333334,1.0,0.58703333,1.0,2.5,AL,0.0,1,1,0,0
Conservative,1.0,-4,5.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,83.0,0.0,0.0,Metro Area,13.0,27.5,1.0,0.0,0.0,2.5,-2.5,0.0,0.35,0.0,0.8,1.0,0.6666667,0.1753,0.25,0.0,AL,0.18181818181818182,1,1,0,0
Moderate,1.0,-7 - Very willing,0.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,28.0,Married,1.0,Metro Area,13.0,67.5,1.0,0.0,0.0,7.5,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.42703333,1.0,0.0,AL,0.0,1,1,0,0
Extremely Liberal,0.0,-6,0.0,-3 - Strongly Disagree,-2,0 - The right amount,Substantial financial risks expecting to earn substantial returns.,Male,47.0,0.0,1.0,Metro Area,14.0,92.5,0.0,0.0,0.0,2.5,0.0,0.0,0.05,-1.0,1.0,1.0,0.0,0.32703334,0.75,0.0,AL,0.0,1,1,0,0
Slightly Liberal,1.0,-4,0.0,0 - Neutral,1,-3 - Far too little,No financial risks.,Female,30.0,Married,0.0,Non-Metro Area,13.0,17.5,1.0,0.0,0.0,0.0,-50.0,-0.1,0.65,-3.0,1.0,0.6666667,0.0,0.42703333,0.5,-50.0,AL,0.0,1,1,0,0
Moderate,1.0,-6,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,62.0,Married,0.0,Metro Area,16.0,112.5,1.0,0.0,0.0,37.5,0.0,-0.4,0.45,-2.0,1.0,1.0,0.0,0.8137,0.0,0.0,AL,0.0,1,1,1,0
Liberal,0.0,-3,0.0,-1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,35.0,Married,1.0,Metro Area,16.0,112.5,1.0,0.0,0.0,7.5,0.0,0.0,0.45,1.0,1.0,1.0,0.0,0.11196667,0.0,0.0,AL,0.0,1,1,1,0
Moderate,0.0,-5,0.0,0 - Neutral,0 - Neutral,-3 - Far too little,No financial risks.,Female,25.0,Married,0.0,Metro Area,13.0,5.0,0.0,1.0,0.0,2.5,0.0,-0.1,0.05,0.0,0.4,0.0,0.6666667,0.46036667,0.75,0.0,AL,0.0,1,1,0,0
Conservative,0.0,-5,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,65.0,Married,1.0,Metro Area,16.0,27.5,1.0,0.0,0.0,2.5,0.0,0.0,0.35,0.0,1.0,1.0,0.0,0.0653,0.0,0.0,AL,0.0,1,1,1,0
Moderate,1.0,-4,4.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,66.0,Married,0.0,Metro Area,14.0,55.0,1.0,0.0,0.0,0.0,2.5,0.0,0.05,4.0,0.6,1.0,0.0,0.42703333,0.25,0.0,AL,0.07272727272727272,1,1,0,0
Liberal,0.0,-5,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,58.0,Married,0.0,Metro Area,18.0,187.5,1.0,0.0,0.0,2.5,0.0,0.0,0.15,0.0,1.0,0.6666667,0.0,0.42703333,0.5,0.0,AL,0.0,1,1,1,0
Liberal,1.0,-4,0.0,1,3 - Strongly Agree,-3 - Far too little,Average financial risks expecting to earn average returns.,Male,37.0,0.0,1.0,Metro Area,14.0,17.5,0.0,1.0,0.0,2.5,0.0,-0.2,0.25,0.0,0.4,0.33333334,1.0,0.5103667,0.75,2.5,AL,0.0,1,1,0,0
Slightly Conservative,1.0,-4,0.0,0 - Neutral,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,47.0,0.0,1.0,Metro Area,16.0,55.0,1.0,0.0,0.0,17.5,-50.0,-0.1,0.45,5.0,0.8,0.33333334,0.6666667,0.5270333,1.0,17.5,AL,0.0,1,1,1,0
Moderate,0.0,-4,0.0,1,0 - Neutral,0 - The right amount,No financial risks.,Female,35.0,0.0,0.0,Metro Area,13.0,92.5,0.0,1.0,0.0,37.5,-50.0,0.0,0.35,-6.0,0.4,0.33333334,0.6666667,0.3937,1.0,2.5,AL,0.0,1,1,0,0
Conservative,1.0,-4,2.0,1,1,-2,Average financial risks expecting to earn average returns.,Female,72.0,Married,0.0,Non-Metro Area,13.0,27.5,1.0,0.0,0.0,2.5,-7.5,-1.75,0.25,7.0,1.0,1.0,1.0,0.5937,1.0,2.5,AR,0.07272727272727272,1,1,0,0
Moderate,1.0,-4,0.0,-2,0 - Neutral,0 - The right amount,No financial risks.,Female,59.0,Married,1.0,Metro Area,16.0,17.5,0.0,1.0,0.0,,-50.0,0.0,0.15,-5.0,0.6,0.33333334,0.0,0.42703333,0.5,0.0,AR,0.0,1,1,1,0
Conservative,1.0,-4,50.0,3 - Strongly Agree,3 - Strongly Agree,-1,No financial risks.,Female,48.0,0.0,0.0,Non-Metro Area,13.0,12.5,1.0,0.0,0.0,7.5,-7.5,0.1,0.35,9.0,0.4,0.0,1.0,0.5003667,1.0,17.5,AR,4.0,1,1,0,0
Extremely Conservative,1.0,-4,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,No financial risks.,Female,57.0,Married,1.0,Non-Metro Area,18.0,55.0,1.0,0.0,0.0,7.5,-50.0,0.0,0.05,-5.0,0.6,0.6666667,0.0,0.4937,1.0,0.0,AR,0.0,1,1,1,0
Moderate,0.0,-4,5.0,3 - Strongly Agree,3 - Strongly Agree,-1,No financial risks.,Female,58.0,Married,0.0,Non-Metro Area,13.0,17.5,1.0,0.0,0.0,7.5,0.0,-0.1,0.25,3.2,0.8,0.6666667,0.6666667,0.0387,0.5,17.5,AR,0.2857142857142857,1,1,0,0
Conservative,0.0,-1 - Very unwilling,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,No financial risks.,Female,64.0,0.0,0.0,Metro Area,14.0,12.5,1.0,0.0,0.0,-2.5,0.0,0.0,0.35,0.0,0.8,0.33333334,0.6666667,0.36036667,1.0,0.0,AR,0.0,1,1,0,0
,1.0,-4,25.0,2,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,81.0,Married,0.0,Metro Area,13.0,67.5,0.0,0.0,1.0,2.5,17.5,0.1,0.55,0.0,1.0,0.6666667,0.6666667,0.4437,0.5,0.0,AR,0.37037037037037035,1,1,0,0
Slightly Conservative,1.0,-2,20.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,42.0,Married,1.0,Metro Area,12.0,112.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,-7.0,0.6,0.6666667,0.0,0.42703333,0.25,0.0,AR,0.17777777777777778,1,1,0,0
Conservative,1.0,-4,5.0,1,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,50.0,Married,1.0,Non-Metro Area,13.0,162.5,1.0,0.0,0.0,7.5,17.5,0.4,0.25,7.0,1.0,0.6666667,0.6666667,0.51703334,0.5,2.5,AR,0.03076923076923077,1,1,0,0
Slightly Conservative,1.0,-5,500.0,3 - Strongly Agree,0 - Neutral,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,61.0,0.0,0.0,Metro Area,14.0,22.5,0.0,1.0,0.0,2.5,2.5,1.5,0.45,0.0,0.4,0.33333334,1.0,0.5603667,1.0,2.5,AR,22.22222222222222,1,1,0,0
Conservative,0.0,-5,30.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Male,57.0,0.0,0.0,Non-Metro Area,13.0,55.0,1.0,0.0,0.0,2.5,0.0,0.0,0.25,7.0,0.6,0.33333334,0.0,0.42703333,1.0,0.0,AR,0.5454545454545454,1,1,0,0
Conservative,0.0,-5,5.0,0 - Neutral,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,34.0,0.0,1.0,Metro Area,13.0,112.5,1.0,0.0,0.0,7.5,0.0,0.0,0.15,-5.0,0.8,0.6666667,0.0,0.42703333,1.0,0.0,AR,0.044444444444444446,1,1,0,0
Conservative,0.0,-3,0.0,-2,-2,0 - The right amount,No financial risks.,Male,72.0,Married,0.0,Non-Metro Area,13.0,32.5,0.0,0.0,1.0,0.0,0.0,-0.1,0.35,-2.0,1.0,0.6666667,0.0,0.13863334,0.0,0.0,AR,0.0,1,1,0,0
Moderate,1.0,-1 - Very unwilling,5.0,0 - Neutral,0 - Neutral,-1,No financial risks.,Female,74.0,0.0,0.0,Non-Metro Area,12.0,22.5,1.0,0.0,0.0,-17.5,0.0,-0.3,0.55,0.0,0.4,0.33333334,0.33333334,0.5937,1.0,7.5,AR,0.2222222222222222,1,1,0,0
Liberal,0.0,-3,10.0,1,2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,33.0,0.0,1.0,Metro Area,16.0,55.0,1.0,0.0,0.0,2.5,0.0,0.0,0.25,2.0,1.0,1.0,0.0,0.1937,0.5,7.5,AR,0.18181818181818182,1,1,1,0
Conservative,0.0,-5,5.0,2,3 - Strongly Agree,0 - The right amount,Substantial financial risks expecting to earn substantial returns.,Female,57.0,0.0,1.0,Metro Area,12.0,7.5,0.0,1.0,0.0,-50.0,-50.0,0.0,0.65,0.0,0.4,0.33333334,1.0,0.40703332,0.75,-50.0,AR,0.6666666666666666,1,1,0,0
Liberal,0.0,-4,6.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,67.0,Married,0.0,Non-Metro Area,14.0,32.5,0.0,0.0,0.0,-2.5,0.0,-0.1,0.85,6.0,1.0,1.0,0.0,0.42703333,0.75,0.0,AR,0.18461538461538463,1,1,0,0
Liberal,0.0,-5,0.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Male,40.0,0.0,1.0,Non-Metro Area,14.0,55.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.45,-5.0,0.8,1.0,0.0,0.42703333,0.25,0.0,AR,0.0,1,1,0,0
Slightly Conservative,1.0,-4,30.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,41.0,Married,1.0,Non-Metro Area,13.0,67.5,1.0,0.0,0.0,2.5,2.5,0.0,0.35,8.0,0.8,0.6666667,0.0,0.42703333,1.0,0.0,AR,0.4444444444444444,1,1,0,0
Liberal,1.0,-5,0.0,3 - Strongly Agree,1,-3 - Far too little,Above-average financial risks expecting to earn above-average returns.,Female,59.0,0.0,0.0,Metro Area,14.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.8,0.33333334,1.0,0.32703334,1.0,0.0,AR,0.0,1,1,0,0
Slightly Liberal,1.0,-5,0.0,0 - Neutral,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Male,76.0,Married,0.0,Metro Area,18.0,92.5,1.0,0.0,0.0,-2.5,0.0,-0.2,0.15,-6.0,1.0,0.6666667,0.0,0.42703333,1.0,0.0,AR,0.0,1,1,1,0
Slightly Conservative,0.0,-4,0.0,2,1,-3 - Far too little,Average financial risks expecting to earn average returns.,Male,26.0,0.0,1.0,Metro Area,16.0,55.0,1.0,0.0,0.0,-37.5,0.0,-0.1,0.05,-2.0,1.0,1.0,1.0,0.5603667,0.0,0.0,AZ,0.0,1,1,1,0
Liberal,0.0,-4,40.0,1,2,0 - The right amount,No financial risks.,Male,42.0,0.0,0.0,Metro Area,12.0,55.0,0.0,0.0,1.0,-50.0,2.5,0.0,0.35,8.0,0.2,0.0,0.6666667,0.5603667,0.75,0.0,AZ,0.7272727272727273,1,1,0,0
Moderate,0.0,-2,20.0,3 - Strongly Agree,3 - Strongly Agree,-1,No financial risks.,Male,49.0,0.0,0.0,Metro Area,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,5.0,0.2,0.6666667,0.6666667,0.5937,0.75,17.5,AZ,4.0,1,1,0,0
Slightly Conservative,0.0,-3,4.0,1,2,0 - The right amount,Average financial risks expecting to earn average returns.,Male,41.0,Married,1.0,Metro Area,13.0,55.0,1.0,0.0,0.0,2.5,-50.0,0.0,0.35,1.0,1.0,1.0,0.0,0.42703333,0.25,-50.0,AZ,0.07272727272727272,1,1,0,0
Slightly Conservative,0.0,-7 - Very willing,200.0,1,2,0 - The right amount,Substantial financial risks expecting to earn substantial returns.,Male,24.0,0.0,1.0,Metro Area,20.0,92.5,0.0,0.0,1.0,2.5,2.5,-4.15,0.65,5.0,1.0,0.6666667,0.0,0.4437,1.0,0.0,AZ,2.1621621621621623,1,1,1,1
Moderate,1.0,-3,4.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,74.0,0.0,0.0,Metro Area,14.0,17.5,0.0,0.0,1.0,2.5,0.0,0.0,0.05,10.0,1.0,1.0,0.0,0.46036667,0.75,0.0,AZ,0.22857142857142856,1,1,0,0
Conservative,0.0,-3,10.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,52.0,Married,0.0,Metro Area,14.0,37.5,0.0,0.0,1.0,2.5,0.0,0.0,0.15,0.0,1.0,0.6666667,0.0,0.42703333,1.0,0.0,AZ,0.26666666666666666,1,1,0,0
Slightly Conservative,1.0,-5,10.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,22.0,0.0,0.0,Metro Area,11.0,55.0,0.0,0.0,1.0,-50.0,-50.0,-3.25,0.15,0.0,0.4,0.33333334,0.33333334,0.46036667,1.0,-50.0,AZ,0.18181818181818182,1,1,0,0
Extremely Conservative,1.0,-4,0.0,0 - Neutral,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,35.0,Married,0.0,Metro Area,16.0,92.5,1.0,0.0,0.0,7.5,0.0,0.0,0.05,6.0,1.0,0.6666667,0.0,0.42703333,1.0,0.0,AZ,0.0,1,1,1,0
Liberal,0.0,-4,2.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,54.0,0.0,0.0,Metro Area,13.0,17.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,-8.0,0.2,0.33333334,0.0,0.5937,1.0,2.5,AZ,0.11428571428571428,1,1,0,0
Conservative,1.0,-1 - Very unwilling,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,No financial risks.,Male,57.0,0.0,0.0,Metro Area,13.0,7.5,0.0,0.0,1.0,-50.0,,0.0,0.05,0.0,0.4,0.0,1.0,0.7270333,1.0,0.0,AZ,0.0,1,1,0,0
Slightly Conservative,0.0,-4,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,53.0,Married,1.0,Metro Area,16.0,162.5,1.0,0.0,0.0,37.5,0.0,0.0,0.05,-7.0,0.8,0.6666667,0.0,0.5103667,0.5,0.0,AZ,0.0,1,1,1,0
Slightly Liberal,1.0,-5,0.0,-2,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,22.0,0.0,1.0,Metro Area,13.0,162.5,1.0,0.0,0.0,-50.0,-50.0,0.0,0.05,0.0,1.0,1.0,0.0,0.5970333,1.0,-50.0,AZ,0.0,1,1,0,0
Conservative,0.0,-3,0.0,-3 - Strongly Disagree,-1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,62.0,0.0,1.0,Non-Metro Area,14.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,-5.0,0.4,0.0,1.0,0.42703333,1.0,0.0,AZ,0.0,1,1,0,0
Slightly Liberal,0.0,-4,10.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,61.0,Married,1.0,Metro Area,13.0,112.5,1.0,0.0,0.0,2.5,0.0,0.0,0.75,7.0,1.0,0.6666667,0.0,0.072966665,1.0,0.0,AZ,0.08888888888888889,1,1,0,0
Moderate,1.0,-4,0.0,-1,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,28.0,0.0,1.0,Metro Area,12.0,162.5,1.0,0.0,0.0,2.5,0.0,0.0,0.25,7.0,0.4,0.33333334,0.6666667,0.5270333,0.5,0.0,AZ,0.0,1,1,0,0
Slightly Liberal,0.0,-5,50.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,69.0,0.0,1.0,Metro Area,14.0,92.5,1.0,0.0,0.0,-2.5,0.0,0.1,0.45,7.0,0.4,0.6666667,0.6666667,0.23863333,1.0,7.5,AZ,0.5405405405405406,1,1,0,0
Conservative,1.0,-1 - Very unwilling,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,68.0,Married,0.0,Non-Metro Area,16.0,112.5,1.0,0.0,0.0,-17.5,0.0,-0.3,0.25,10.0,1.0,1.0,0.0,0.072966665,0.0,0.0,AZ,0.0,1,1,1,0
Liberal,0.0,-5,1.0,1,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,44.0,0.0,1.0,Metro Area,13.0,37.5,1.0,0.0,0.0,2.5,0.0,-0.1,0.45,5.0,1.0,0.33333334,0.0,0.42703333,0.5,0.0,AZ,0.02666666666666667,1,1,0,0
